Time,Estimation_0,Estimation_1,Estimation_2,Estimation_3,Estimation_4,Estimation_5,Estimation_6,Estimation_7,Estimation_8,Estimation_9,Estimation_10,Estimation_11,Estimation_12,Estimation_13,Estimation_14,Estimation_15,Estimation_16,Estimation_17,Estimation_18,Estimation_19,Estimation_20,Estimation_21,Estimation_22,Estimation_23,Estimation_24,Estimation_25,Estimation_26,Estimation_27,Estimation_28,Estimation_29,Estimation_30,Estimation_31,Estimation_32,Estimation_33,Estimation_34,Estimation_35,Estimation_36,Estimation_37,Estimation_38,Estimation_39,Estimation_40,Estimation_41,Estimation_42,Estimation_43,Estimation_44,Estimation_45,Estimation_46,Estimation_47,Estimation_48,Estimation_49
33,18022.630690669565,17453.80005909565,17904.23824850435,17741.681453173915,17800.595088782607,18141.420032808695,17607.996422513042,17777.883795765218,17829.398801808697,17626.691810869565,17884.581392052172,18069.36129058261,17574.130871852172,17833.603130686955,18296.22150858261,17856.653361982608,17617.99866713913,17829.421473182607,17817.885818026087,18074.426891965217,18022.054866652175,17646.197175382607,17555.118408652175,17946.32312793913,17906.370054469564,17876.638762078263,17873.69633393913,17616.80276141739,17838.095780182608,17621.46978649565,17764.65941047826,17508.766350704347,17707.204469069566,17504.99863796522,17695.499139252173,17968.308331973913,17416.98601687826,17771.24963918261,17647.657556173912,17733.19589771304,18094.522887486957,17844.851101982607,17896.035045504348,17937.281930704346,17423.06482927826,17999.29180477391,17787.786613130436,17778.111028113042,17527.912632173913,17864.38064124348
34,15192.638076226087,15372.16192266087,15450.502858591304,15360.655854304348,15160.25345867826,15434.0064892,15404.301443173914,15331.871230608696,15719.766736121739,15240.331861513043,15358.420187008696,15305.084483156523,15078.629408069566,15488.660727452174,15153.775765226086,15305.168935191305,15138.550040147826,15411.34453872174,15539.20530501739,15432.32130646087,15400.453564130436,15674.970585782608,15412.688892686956,15386.613693469566,15310.001498173913,15542.758166634783,15498.679502808696,15265.43853212174,15073.064107069566,15545.48505207826,15398.4269086,15475.54835861739,15258.15984052174,15381.26117513913,15456.972500765218,15380.51392113913,15307.267151330434,15595.850137504349,15513.889156504349,15300.530818669566,15467.2405876,15209.783074608697,15543.18800826087,15256.50993661739,15464.396377565217,15486.05969433913,15241.672155478262,15364.244850991305,15304.643867365217,15249.712734504348
35,13251.807004747827,13263.670493026088,13118.706153686957,13362.076737573912,12989.196670652174,13485.720223452174,13383.350089095653,13221.727644260869,13071.718761765218,13231.211457182608,13344.786499130434,13241.962027713043,13355.789114026087,13446.58435361739,13244.618276086956,13073.178290617392,13256.894476956522,13372.583186034783,13414.92464786087,13107.58926513913,13167.90818698261,13207.957394286957,13466.971624695652,13298.122625069565,13141.476040008696,13333.737570078261,13097.787197617392,13209.591627608695,13375.068598678261,13310.725038382609,13312.724022747827,13212.383988895652,13455.649297365217,13378.297609513043,13348.251897626087,13529.303772043479,13236.986410330435,13591.809125652173,13381.503401773913,13072.317527391304,12979.706010678261,13622.082666921739,13374.159908391304,13137.995055808695,13266.386209799999,13043.916321304348,13440.701205426087,13382.200804139131,13455.425326391305,13164.19873387826
36,11581.334773621738,11556.434545797392,11397.685103722608,11317.50338241913,11524.09024088,11516.091476528696,11469.44581893826,11603.61269571913,11361.372049425217,11314.720578706956,11464.979981206086,11647.550857822609,11519.325200528696,11374.509907256523,11515.21304511739,11184.422235806087,11474.523439207826,11571.128083276522,11399.672303471305,11413.427585117392,11477.539880669565,11659.602298279131,11384.063084406956,11484.505232507827,11550.11955248087,11567.526325391304,11496.726259873913,11510.112783234783,11472.57034981913,11486.167548686088,11311.615873912175,11634.322317506956,11426.656658797392,11374.49868509826,11532.443008027827,11460.705179263477,11634.910902247826,11637.047115707826,11471.14957433913,11348.956871335653,11304.971860745218,11604.993026740869,11625.883526844347,11456.482175234783,11670.220755875653,11623.242570002609,11412.851303333044,11509.364824353914,11583.356571366956,11644.180880835653
37,9925.272438893044,9916.578676602609,9747.812741372174,9709.92699698174,9980.593325206088,10010.05650075913,9707.102886887826,10041.66815487826,9965.707756988695,10068.497642494782,9864.29302427913,9760.463311546957,9889.32234576087,9928.826045233043,9947.777186711304,10044.907574326087,9854.762038056522,9915.509594943478,9812.216237143479,10063.493995482608,9810.125721455652,9941.935514437391,10145.316416846086,10039.198432654783,9886.785960972175,9978.083046830434,9869.66960284087,9948.486217228696,10004.210199812174,10026.842282231304,9891.579489965217,10031.14039070087,9950.628250770435,9848.58478020174,9839.614345881739,9905.252010057391,9774.668084206087,9925.912317595652,9757.538799605218,10021.905311330434,10020.765878397391,9940.325793033044,9869.711812437392,9952.458573591304,10076.937124231305,9884.844670183478,9923.274485906957,10139.161723485216,9923.726011593044,9963.563319507826
38,8787.852458682608,8464.114715689566,8484.778548884347,8590.585990806956,8624.056418251304,8446.389660336521,8567.572138269565,8481.00224025826,8495.192159846956,8603.529802496521,8600.514169766087,8559.056054833043,8535.470533313044,8563.601610174783,8451.861988193043,8456.97164198,8684.337938310435,8433.565034937392,8486.405696007827,8503.645518248695,8630.485014275651,8622.421135901739,8554.807933663478,8533.875003226956,8520.06843766087,8563.34109409913,8481.136752046956,8511.899805614783,8575.46767364087,8407.60961902174,8535.98415002087,8583.63276437913,8571.209581069565,8654.55534618,8432.67959364,8472.084065266086,8510.894466953912,8500.924391291304,8691.89952665826,8699.468128151304,8616.73816303826,8544.785190433044,8478.18306265913,8564.269657883478,8695.659995375652,8550.502817519131,8598.211550326087,8486.43178984,8647.022620505217,8628.364633413914
39,7392.19629186087,7468.854923758261,7510.563824070435,7257.240171185217,7514.61338364,7325.679544144347,7390.51435187913,7440.846450196522,7406.14533935913,7470.988936623478,7446.85231725913,7357.8118316547825,7440.523263571305,7405.1543756321735,7373.228154993043,7326.631160993913,7383.5005553043475,7409.529876605217,7510.216666791304,7550.434852838261,7400.925609611304,7354.875207591304,7424.432808075652,7121.557364305218,7390.467645387826,7420.627620161739,7537.788214773913,7449.705346330435,7361.340016778261,7537.406218597392,7540.977129657392,7376.262234666087,7307.649627830435,7388.496558383478,7290.8194096347825,7454.3024777956525,7478.3150379234785,7428.252727197391,7391.2245539278265,7390.616159938261,7482.668054465217,7249.990888961739,7431.8166691443475,7384.390670955652,7366.027884401739,7374.069279597391,7342.184097013043,7363.902630727826,7474.881949626087,7410.546058356522
40,6450.43846636,6342.383255833043,6306.873267082608,6448.650031446957,6359.325630669565,6486.290632821739,6496.2716788347825,6442.657776488696,6391.946596706956,6488.705673265217,6421.22476536,6357.821170829565,6430.451123146957,6397.800459773043,6427.503434346087,6542.626431703478,6527.917236138261,6315.013131888695,6344.428560136522,6460.577762946087,6424.393343890435,6431.004373848696,6363.595829249565,6509.316283612174,6228.280210233913,6306.8612593365215,6463.495994832174,6409.747059310434,6388.4201508017395,6363.422073882609,6376.247423659131,6470.3799511739135,6389.200234191304,6284.151480896522,6450.801747426087,6334.360860719131,6428.300560411304,6391.2274281,6538.049871909565,6280.334252567826,6422.5082789904345,6401.018510506957,6463.163908909565,6346.726581282609,6324.5630933208695,6411.8206273721735,6320.928197980869,6468.641649075652,6348.210596405217,6294.932456823478
41,5459.328371107826,5479.880245528696,5504.763717685218,5605.586180884347,5438.677540858261,5470.65625876,5527.118178143478,5518.7112574339135,5639.613147293044,5540.038073626087,5493.533479336522,5339.48963722087,5473.393864858261,5527.63227433913,5596.945474980869,5555.510832176522,5540.947471013913,5475.224168349565,5654.99807942,5620.3544068304345,5432.587844587826,5598.107531377392,5473.971401035652,5578.444511126087,5490.349556960869,5433.31869416,5486.906040947826,5509.1388348695655,5496.344360188696,5562.730942252174,5562.450699043478,5545.383714092174,5491.512057137391,5527.563457391304,5609.866058733043,5508.685968610434,5562.515781933913,5597.62140465913,5572.176317791304,5541.527492377391,5490.6242434443475,5461.040924593913,5496.675486710435,5549.386670946957,5515.020065507826,5542.876197411304,5510.925816251304,5542.81474724,5580.014081126957,5554.240420428696
42,4794.477791322609,4704.300531395652,4778.970388813043,4685.817319001739,4719.349117187826,4773.782606165218,4709.392536973043,4834.259258973044,4711.252703102608,4763.645280893913,4761.030759631304,4737.101455506087,4719.737099756522,4773.647881925217,4668.935386729565,4786.778911990435,4859.025002693913,4785.982563201739,4673.153771216522,4824.421124406087,4811.134879734783,4934.035917596521,4794.761740973913,4748.462296487826,4746.8533774626085,4699.849696699131,4832.173297016522,4775.747154545217,4764.190180468696,4741.027349304348,4824.283655475652,4758.8359096373915,4812.7922359,4754.604291886956,4731.311235511304,4818.971547483478,4730.4190737234785,4814.230945602609,4756.13868844,4769.518530685217,4856.692283192174,4807.698151898261,4817.854201460869,4762.345215313044,4785.81986237913,4805.803818438261,4785.552032993043,4811.9306360026085,4813.734774639131,4808.259546651304
43,4157.778157874783,4123.698004983478,4154.322409877392,4168.909026530435,4054.467474866087,4102.418167892174,4087.7106891130434,4135.352503044348,4115.229388248696,4218.886936455652,4184.7581874626085,4139.9437390634785,4032.978822461739,4058.257688135652,4120.4395693034785,4153.626417320869,4117.329020184347,4135.322458131304,4071.965005246087,4156.102751625217,4072.690065415652,4158.07076328,4118.820470929565,4120.992282914783,4080.6183378452174,4149.25351438,4101.871420505217,4154.180356656521,4081.4290631791305,4190.218091556521,4133.35797784,4164.496418217392,4168.182911843478,4126.771924394782,4153.588486773044,4101.623477472174,4085.4894752617392,4092.860579921739,4024.590047701739,4077.766052204348,4079.94118068,3979.265571826087,4090.9027228034784,4140.924036293043,4069.1403301965215,4115.157417142609,4093.5273508547825,4117.769274298261,4130.278611354783,4091.2545766747826
44,3536.353566027826,3554.095535972174,3555.3358163608696,3532.0661677869566,3547.957091837391,3632.7579891765217,3506.8097469956524,3581.9914184765216,3540.7573089330435,3596.5881181669565,3509.834581167826,3499.475475681739,3597.6342545391303,3447.2218414930435,3565.7272908208697,3528.006045250435,3628.7952802269565,3490.978484690435,3523.566789201739,3544.3965333930437,3535.0738829026086,3602.939738627826,3450.7627241747828,3598.8741047295653,3528.796936861739,3600.6194473495652,3637.2080566252175,3507.387302224348,3526.629745146087,3570.573307446087,3593.471056218261,3504.5281379469566,3548.9353523156524,3515.176178256522,3616.09711114,3524.95046608087,3553.290674115652,3539.2872573295654,3571.9054494513043,3507.130888587826,3517.13488406,3554.341979607826,3557.0413629252175,3540.5332143573914,3576.2836569365218,3523.6535741408698,3562.8570309026086,3579.9313725130432,3549.2443746556523,3504.244510213913
45,3054.530550087826,3057.706771273913,3107.441624772174,3069.9051148834783,3018.7514589991306,3084.2475727730434,3024.210759890435,3041.854107643478,3034.581135883478,3057.554148671304,3164.1695817730433,3006.7713773008695,3014.549490364348,3049.605235775652,3093.8110877930435,3041.417924884348,3034.018458635652,3042.800756772174,3092.279111293913,3172.669255083478,3037.912504033913,3015.305098610435,2999.9365714052174,3084.1906312547826,3043.266745949565,3100.3830827791303,3078.4595092086956,3050.8560699365216,3131.1940683582607,3095.568877141739,2996.6418496408696,3048.831588052174,3090.8617669452174,3046.7402382669566,3100.462880052174,3064.9885664391304,2962.8549767130435,3023.1938025391305,3000.7060278973913,3066.090404817391,3089.340408363478,3010.731448550435,3110.8282405608697,3061.247170297391,3076.9868834365216,3121.1927991930434,3055.980754636522,3070.4377985286956,3111.4072117243477,3095.8268814226085
46,2628.010752632174,2646.6341899930435,2645.192763663478,2600.1707288530433,2666.3238367452172,2659.6662575852174,2620.7845479313046,2641.0614873295654,2660.4357478234783,2628.903761466087,2614.054781778261,2674.9344396547826,2672.5945999078263,2642.277215821739,2671.9561242808695,2639.9189729608697,2630.1718148434784,2632.2991231243477,2665.804164456522,2677.090063693913,2606.5160535826085,2589.516936786087,2677.125702852174,2691.467062842609,2658.091797641739,2694.4622534730433,2595.922083757391,2664.328756537391,2594.4333827313044,2684.571992050435,2578.7583754426087,2627.420651190435,2699.3420281443478,2667.6466225452173,2668.0669806243477,2648.4582262730437,2599.4267413086955,2659.432112494783,2669.163294035652,2683.2202451808694,2617.409304172174,2585.968430172174,2644.4416927808697,2649.343037512174,2587.589592964348,2686.901360326087,2645.897733111304,2677.325492367826,2677.1809076913046,2638.7951980530434
47,2275.263019293913,2244.4866245330436,2298.9505146452175,2296.352473616522,2307.6500273,2303.0480760026085,2290.5818902634783,2269.5189387208698,2322.44500894,2316.6070587486956,2270.303212350435,2242.906517872174,2279.05647898,2321.1153903513045,2315.4270525130437,2304.3855686347824,2324.088386562609,2260.927495666087,2293.0936856730436,2273.6526015591303,2267.7632386878263,2266.5260369843477,2312.829155169565,2286.045870601739,2262.1452895452176,2315.8976762626085,2277.3150017747826,2314.3266676043477,2277.9543768026087,2340.2559179243476,2274.7928688608695,2263.014378715652,2316.3207299791306,2311.1455252130436,2265.457503449565,2276.9272177721737,2270.834351393913,2344.310420227826,2297.3008072582606,2320.0787139530435,2316.714524335652,2249.719180547826,2249.7989344565217,2245.9908621052173,2259.4499857034784,2285.533153598261,2299.9751343417392,2321.023064583478,2289.3155487321737,2312.1251649591304
48,1977.9035299373913,1975.4915997869566,1991.2238725034783,2010.8136907234782,1991.7600474269566,1940.173846066087,1953.7352550504347,1975.8657870669565,1967.36454214,1979.4737741852175,2017.718457467826,1962.5774278965218,1969.5157202330436,1992.0989895504347,1955.7811935017392,1952.1004088573914,2012.021106278261,2012.801625533913,1963.3883119973914,1983.6546362417391,1998.9204893608696,1950.7243257495652,1997.947157486087,1938.2049472269566,1983.7395564173914,1961.880723498261,2025.5184571426087,1939.2134569808695,2007.5090509765218,1975.5479614739131,1980.9664107982608,1961.8377437643478,2021.2426133704348,1987.3910411130435,1975.7592534191303,1967.4235658513044,2033.9952845417392,1977.6163891843478,1983.3384668243477,2004.927609298261,2011.9436735191305,1961.7324574130434,1973.5411669113043,1976.0571373373914,1978.7250391573914,1987.6189055573914,1993.9547124052174,1991.941726513913,1995.3265124443478,1978.2213599982608
49,1701.776621432174,1713.3751465826087,1738.7978690130435,1731.0555971956521,1714.2316813208695,1701.5530431034783,1698.7517071104348,1726.20433488,1720.1051931443478,1749.018422086087,1696.8543668565217,1729.1609524765217,1704.5797166504349,1700.961004684348,1744.2845754417392,1696.383638127826,1695.8351243104348,1731.9424247965217,1695.430548735652,1701.7521300765218,1678.9430557034782,1752.5971281634784,1696.2989339452174,1706.3922777043479,1699.9622147886957,1716.7571322843478,1688.3551715304347,1712.405675181739,1724.5481381365216,1701.8189942617391,1714.5213415026087,1725.9545175930434,1727.1031934765217,1715.2274623356523,1730.11851382,1703.4788186773912,1685.98540968,1720.191081181739,1697.9126988173914,1708.7613730408696,1756.8225987113044,1730.8049793504347,1757.047914441739,1751.0967943695653,1702.9538215791304,1708.4312378826087,1724.454822558261,1689.1980074452174,1731.7375744486956,1744.6046170382608
50,1481.4437699113043,1479.0592862539131,1491.261197506087,1467.0267661330436,1483.866500095652,1485.9021185530435,1457.2923746530435,1468.4100536591304,1500.385005292174,1476.7269188452174,1494.1350804173912,1494.2645927539131,1446.37169746,1486.55408022,1502.5516086660868,1495.3045327243478,1486.8914266147826,1486.617549313913,1478.5221645113043,1518.3535085165217,1494.489881269565,1463.370285492174,1482.745276227826,1505.0395674643478,1462.9114859973913,1477.7868628156523,1509.5406189730436,1483.9631162495652,1501.5100019191304,1506.445682952174,1493.5620206530434,1492.067873752174,1460.8666067365218,1474.6627373365218,1490.1673518947825,1472.080448613913,1510.2532536973913,1491.3514115669566,1489.6774339826086,1469.9553418347825,1480.7416505991305,1470.7121841252174,1493.6924310165218,1489.1146369765218,1486.129683586087,1494.2534800747826,1485.6514249747827,1487.6200164765216,1498.702473526087,1499.4711873226088
51,1265.5747097707826,1301.5119301202608,1301.9331570896522,1286.8036280779131,1294.6079344609566,1298.8801175494782,1304.3339012702609,1280.251099989913,1255.9686043571305,1293.0993283154783,1270.6048677547826,1272.3757176183478,1303.1649402734784,1300.2740618301739,1290.8198367764348,1271.5052755029565,1314.7984159836521,1264.1638946991304,1290.3961434779999,1269.3984442113044,1326.9716374028696,1289.5404116866957,1282.5756707361738,1289.7904561512173,1303.2248691726088,1305.8928310014783,1288.4602516346956,1302.0307204986957,1300.077083576,1306.6023000063478,1282.741679125826,1284.0104689274783,1283.714349455913,1287.7731346341739,1272.375563024348,1264.7457001900868,1296.360577665913,1312.1901692387826,1296.4028653024347,1328.4115728724348,1304.4900134374782,1286.5216728753044,1283.4541234233914,1295.6476825623479,1303.8112578106957,1300.6173463886087,1299.2094762253912,1290.4871216012175,1306.6726413967826,1297.105632186261
52,1118.4728401616521,1128.3801480758261,1103.8720625225217,1112.7071881822608,1138.672407217826,1101.8882409006087,1120.2903516585218,1114.240241747913,1110.6586032026087,1105.1688318966087,1122.0418915474781,1140.4493896391305,1128.9968318133913,1130.4093779464347,1131.824536927739,1129.2007276926088,1110.865358621826,1106.1926231753912,1128.3189229298262,1117.9594140315653,1144.8435828863478,1131.3951248286955,1132.6128334609566,1129.323437316174,1140.6622171317392,1124.467438203913,1158.866746244087,1114.6856820455653,1131.591641044174,1111.178563781739,1126.341371963826,1139.5744424236523,1121.548630116,1127.2493552369565,1120.6170597373914,1108.4347133643478,1094.2273300822608,1121.7424818910436,1093.8587497805217,1104.2907644704349,1106.0823186834782,1124.3300365572175,1122.538411894261,1100.156019092087,1129.1479975911304,1142.5301690334782,1126.7843076531303,1094.8174358666956,1121.7527371959131,1134.0558240705218
53,969.1978244346087,983.5305460237391,964.2861100653913,980.1644137107826,977.5289966483479,963.2712666563478,983.3775659094782,974.9428495092174,960.0719247392174,969.4503451926087,951.5247148273913,968.9384928453044,961.9997633926087,990.6305666804348,975.3852363052174,951.461072274,987.1263871626957,987.3032229162609,969.9430288557392,977.191004111826,955.3940718256522,978.6337397463478,951.6697142112174,981.0634774193913,949.6879516953913,975.19454091,987.9807455585218,986.3107387051305,984.8542808498261,970.3924004111304,962.6960447784348,963.0754484294782,969.8866750954783,983.143154236087,953.6939388656522,956.3401170389566,977.799838113913,976.2027951104347,993.3772915833043,977.8787971432174,965.8012102638261,969.9458375453913,963.1100290006087,975.7902505860869,981.6953459309565,970.9043064686956,959.2879330325218,964.9861338390435,956.1527474347826,980.9209823574782
54,833.1281275113043,843.9324379812174,840.5263364148695,855.967253015913,834.473730024,835.1488631438261,836.2056036728695,844.5365426969565,835.711298766174,854.6823287310435,849.1176674691304,850.8348087031304,847.8330638885218,854.8860454295652,861.4576315203478,848.4878298478261,862.2831425377391,889.7938703226087,841.9630098545217,843.7210188666957,846.8014992327826,842.840867794087,845.2113055192174,859.6343356474782,855.0559738603479,830.5847003813913,848.6979789111305,845.630420028174,858.0968115874782,831.4335561033043,851.6310182124348,837.2610508735652,842.121789436,839.0309528601739,850.13336964,845.8199300633044,839.0201702030434,863.037206626,820.0452250889565,844.7903564753913,839.183760942,834.7949261885217,854.4892092506087,832.3687407349565,841.070373794,831.5320041305217,834.7034082378261,854.0458586989565,851.3200693133043,860.4233875141739
55,734.1999775715652,732.8460400683479,709.1785263827826,723.341976533913,730.3447209042608,721.2430675473913,731.4417760067826,742.1780863731304,742.0918308386086,732.9003834893913,720.2445087474782,737.8676715859131,733.9861053893044,727.8818811646956,735.1302601595652,725.3665271441739,734.8674873767826,735.9241149690434,727.100354024174,756.921647645913,739.1082086298261,753.9721147128696,729.0420205130434,709.2183060697391,747.5583758023478,723.4859219002609,749.430593036,725.9378546938261,723.2356246458261,728.505043546174,741.0076112367826,724.1626494437392,732.8538346802609,715.3301411312174,736.1959626194782,744.4502659609565,713.5060488087826,748.021211852,732.7189999425217,743.152527022,735.7468873356522,735.7941779550434,735.1135484630435,735.9522440219131,730.1590317027826,733.6975806197391,728.3882461882608,739.3428247772174,729.1274478833913,723.5668254880869
56,636.8646547011305,617.665484432,632.5805578193043,634.8362823433043,632.4861159573044,635.6737901464347,642.7755113439131,622.0919871346956,620.4615335722609,629.5824194334783,630.6364685654783,627.1631820711304,628.911652188,626.0610057629565,633.5028724873043,634.512803255826,641.0448139317391,634.2429273994783,632.6915076398261,633.6351690651304,639.5966276287826,641.6251091773044,620.0819010181739,638.1122426593043,619.871614284087,641.0873905340869,631.4052315335653,625.8365893506957,627.6786498514782,620.905438822,640.4123377874782,631.8913694895652,631.8509196755653,633.3059375896522,615.3699210086087,642.2285122586087,638.5669202278261,615.1026331573044,629.447344906174,634.355026749913,628.6838706026087,646.3502644718261,629.2307092214783,634.1468875186087,648.833895461826,629.7283386061739,641.7975382558261,627.4442231831305,621.1181010218261,616.3668698012174
57,544.8032553253043,556.51085399,549.9392002661739,561.0726768730435,550.2529116273043,538.2494285155652,542.1534319650435,532.4330969963478,553.4260493943478,532.6239770421739,551.5861621333044,560.9599035333913,548.0094667363478,543.3468701437391,556.234221082,554.016052028,557.4114132013913,546.8640980538261,527.6445233752174,537.940411401913,531.7131170985217,545.0076553967826,544.6825994450435,565.7263926695653,551.2253114355652,542.1244681293913,543.2557903030435,541.0099817030434,539.2707521944347,532.5423180503478,540.9697220644348,535.7363730955652,548.9776552778261,547.4965856058261,544.7705670353913,547.1231588629565,547.6821568648695,556.6265104497392,535.428348534,545.1701933710435,549.6854845135653,550.1174439950435,548.4094937883478,533.7256735178261,539.0266522831304,537.2122915373044,543.1944985750434,548.5581672340869,548.4176031998261,538.9452675473913
58,470.82034121504347,461.7789897246087,465.41429805295655,479.0019248667826,475.5926541828696,480.4345780245217,472.3887205706087,480.3326458807826,472.20776474869564,471.22260793191305,474.0097339915652,474.56295963530437,478.22423926704346,457.04838765530434,465.72757834878263,457.6209135961739,470.2764435230435,488.2224335947826,459.40637270669566,478.47526651591306,472.801116863913,463.1980991909565,470.81339704130437,477.54868431930436,477.5859012995652,474.6902232794783,480.50267081147825,472.0354301703478,478.578035182,474.9359775662609,466.6578295713913,478.73055937008695,467.1506077766087,466.2959572634783,477.6617101090435,477.1436358002609,475.78466988008694,465.1706535126087,478.7467389629565,481.5067495956522,468.8618346607826,472.0390332081739,461.4937648906087,469.78762492834784,480.8227654588696,474.45129228,478.7788695698261,478.16176957008696,466.2319835861739,486.61523695669564
59,413.9986055154783,401.72443776434784,420.37803157086955,414.09960084382607,416.21791381956524,413.27147399156524,402.4227247710435,417.65711788565216,411.7907140446957,398.41942648052174,405.81501337782606,409.93025360904346,405.80261807052176,411.539057549913,402.96195622930435,417.29920292226086,411.3145093858261,408.4445370706957,407.7798103641739,405.6620065006087,403.2500223033913,407.8984002737391,405.2851465035652,415.54784344991305,420.73294888608694,405.63027232773914,414.6605313914783,412.3096855206087,411.3251251085217,413.7504980991304,416.22542365547827,411.4672121749565,415.9634517013913,408.797566308,418.17136219773914,415.2722314458261,405.5777243668696,404.3301072908696,405.31550678956523,410.473500392087,415.14489501052174,410.99147886034785,401.59956319313045,405.1288062493913,408.950899012,400.38298903634785,413.6668255366087,404.68193114495654,410.1284800710435,411.9358829601739
60,357.6539081772174,352.89930035173916,361.71179928069563,356.25743002269564,359.99555727791306,362.9311009803478,354.95652731773913,351.4934139241739,347.03369003426087,361.6365562833913,360.8441496556522,366.5398030563478,352.31680226556523,353.8176440912174,355.06271794234783,352.3710865228696,354.0100249907826,344.97194811808697,361.948539358,351.63708131347823,352.71582843513045,354.1709605075652,348.9755994066087,358.44649885626086,350.5088092821739,345.4166487793913,347.41600953791306,354.3972921779131,356.59464305165216,358.78197276278263,350.13037969408697,355.81344264626085,357.1293246203478,355.58710628156524,363.50567063513046,357.10889804695654,348.4039520114783,353.26351347947826,362.412645864087,361.7942654707826,358.68942426269564,354.64864088721737,360.20445880208695,352.9236291528696,359.337055384,356.3848495158261,358.7098051378261,360.5490569746087,355.4886134641739,355.14175770591305
61,309.4147118587826,299.0193034921739,308.35704573791304,315.01044776513044,310.00573206582607,313.3804713898261,307.6305415383478,305.5689987334783,300.2456682623478,303.4233212644348,304.0385461266957,303.1392006748696,299.4168079762609,307.55092696913044,308.108618708,300.6972960282609,308.5490924687826,305.6615175832174,308.48769491626086,304.42439530269564,309.99551133895653,301.07352962452177,309.9726420593913,309.99673119886955,307.1392067534783,308.78237431469563,311.5136241393913,301.5586239558261,314.9292348187826,307.4088154043478,307.48623390347825,315.14431790469564,304.6482482243478,305.76019227173913,302.6197460993913,313.7894350556522,309.2710764747826,310.7915220043478,302.3442202389565,306.62491525573915,313.16603535486956,303.22122375286955,304.8269107072174,301.8074314786087,308.1838797493913,304.61125885217393,309.01648385069564,304.4607857007826,296.0328001687826,308.45990280765216
62,270.19393972486955,264.4307835738261,263.89110974017393,263.3939237728696,264.86561385530433,267.28744930060867,269.0365605864348,270.76029804991305,269.70361115808697,265.2885745381739,270.0017079398261,271.20641731852174,270.1573447256522,269.94285251626087,266.6354702924348,268.6676932904348,266.6851456951304,278.300830068,264.77790446252175,260.7433075082609,270.0185790075652,265.26510332739133,269.7860688258261,266.16846133895655,268.1948948687826,258.6510397809565,264.64386978347824,274.77808756591304,270.57571582,266.1077920006087,266.403184794,270.90926682286954,262.7564173366087,272.39702244939133,263.4921169733913,265.015215942,268.99284029652176,266.8001079558261,266.3943907410435,261.28006186608695,273.0289493183478,270.7136215658261,269.7531812693913,267.0924185373913,273.66119563078263,269.93982587391304,269.6435920344348,264.00486331721737,272.59556143495655,265.36903820269566
63,231.36529118017393,233.88346277565216,235.7482038507826,234.48749665443478,236.6469450186087,232.1710275504348,232.54969904,233.93328252556523,228.980320596,234.85044311495653,230.30361176034782,232.8346157496522,229.06487823243478,233.16175578591304,228.3258707446087,232.1668951329565,225.02826703469566,233.22527654773913,232.122114386,237.79774462904348,229.48618107034784,232.740171312,232.90513788913043,234.25715086173912,235.41167463,228.99953797313043,233.01971268556522,227.28020975208696,230.97019465130435,228.71582014330434,233.85277388869565,234.53337096426088,229.7955205455652,229.4108574738261,231.2110853313913,228.8772819232174,238.62088321556521,227.7610875075652,228.63070325513044,231.31130823826086,229.61888918556522,228.84001408573914,229.62301406443478,229.98276511165218,227.21011678921738,230.88024615704347,227.33918339626086,235.63369883530436,231.953704428,231.16065308017392
64,202.30235576834784,199.42230357643479,199.95319465947827,199.89133853391306,197.0222500086087,201.21840487008697,201.13153606834783,199.1076570733913,197.58005563713044,201.97268611521739,203.8690581132174,195.85867731513045,200.7907606372174,199.3907934478261,199.0809633587826,198.09994139547825,198.69604745808695,200.27581358947828,200.94195161504348,195.88632809217393,198.98075812147826,201.34479892547827,198.66999460269565,200.63373933086956,197.48095116895652,202.473633624,194.9417393001739,203.29691788565216,201.2787727772174,202.46691347834783,200.04318791486958,198.38081247556522,198.24872925121738,202.30133951791305,204.22367579130434,202.47447677913044,204.52095745913044,198.00310420426086,197.0031740686087,202.24936602095653,203.5350582026087,201.4990992058261,202.32284864504348,200.31512666843477,200.00063342,204.975965352,201.74835081973913,201.9519415841739,199.88840587052175,197.39643930313042
65,174.35001228,176.4133686306087,172.6582601775652,173.7475125141739,173.01583500617392,177.76789326286956,176.30937398043477,175.59529927513043,174.89430682217392,173.72827899104348,173.21587278095652,176.21116619113045,172.7202532364348,169.6581124033913,173.81900900486957,172.1832403613913,171.72688059713045,170.92432458530436,173.72394567234784,174.3003238478261,175.5255482306087,176.24257581834783,175.1726107967826,174.07904223756523,173.54255833773914,173.5848742718261,176.789726864,169.6449606486087,171.15446728965216,173.41623603808696,175.8584177146087,172.71793276469566,177.70859983,174.6338729973913,177.52332936286956,171.60817235426086,170.96967528791305,171.7462169949565,174.33338532547825,173.32264383243478,175.9760975789565,172.371969444,174.0534737821739,175.41690301373913,172.18335231104348,176.1706321615652,174.33309333486957,172.0712944018261,173.942880004,172.83490192365218
