Time,Mean Value
0,1623926.629767826
1,1948092.9599182608
2,1637082.4452704347
3,1414705.6797173913
4,1217348.8761078261
5,1049351.4964164349
6,904400.2432638261
7,779961.65225
8,673083.7462714782
9,581184.6577969565
10,502090.4999973913
11,433564.04579582607
12,374014.7146183478
13,322784.95554713043
14,278767.34729008697
15,240881.26735
16,208227.85365930435
17,180090.94304826087
18,155788.15298530436
19,134713.06679286956
20,116462.77680093913
21,100712.90585755653
22,87122.29560068695
23,75403.1224950174
24,65265.13047948696
25,56451.47379541739
26,48780.83458418261
27,42158.37237670435
28,36476.20763097391
29,31581.414939860868
30,27348.786899852174
31,23690.10890386087
32,20517.501174330435
33,17757.741501626086
34,15364.518704217391
35,13288.339747243479
36,11484.314386186086
37,9920.135189488696
38,8565.30965364174
39,7392.1004057286955
40,6381.284771246087
41,5510.956568946087
42,4759.2447044826085
43,4109.133212764348
44,3548.37325222
45,3064.9792784026085
46,2648.030997209565
47,2289.367268392174
48,1981.278501492174
49,1715.6792205373913
50,1487.083959172174
51,1290.179417237826
52,1119.675996129826
53,971.4630859065218
54,842.4082030656522
55,729.9168862592173
56,631.9266785546087
57,546.9882782082609
58,473.51043475669564
59,409.843452272
60,354.97497188113044
61,307.7078084470435
62,266.8891459495652
63,231.4757425207826
64,200.65107428713043
65,173.88556238269564
66,150.64233331148696
67,130.38009973223478
68,112.74762238507826
69,97.47819795133913
70,84.29856570195652
71,72.92450144141739
72,63.07997498832174
73,54.55203282178261
74,47.18055899136522
75,40.8440930962
76,35.3756851050087
77,30.637967354286957
78,26.53428587209565
79,22.970161233843477
80,19.87506506018261
81,17.197979553226087
82,14.892337465918262
83,12.916406757066957
84,11.22015879752087
85,9.766827768891304
86,8.530622282487826
87,7.482558597126087
88,6.601608029136521
89,5.871606581438261
90,5.273806182482609
91,4.791244153461739
92,4.410245335541739
93,4.119610534335652
94,3.9134265965173913
95,3.790673617586087
96,3.7514134466104347
97,3.7947329627921738
98,3.9195565444200002
99,4.128067839570435
100,4.424136113782609
101,4.811848623576521
102,5.299162664366957
103,5.896513168910435
104,6.616214212891304
105,7.472688784358261
106,8.48423563713913
107,9.671723934229565
108,11.061566886026956
109,12.68316134323913
110,14.559137134634783
111,16.721626975860868
112,19.23182219938261
113,22.14916826456522
114,25.536267447113044
115,29.47214460902609
116,34.048846847826084
117,39.33587737193044
118,45.40423874024348
119,52.375606201182606
120,60.38186381093043
121,69.60300579588696
122,80.26983625391304
123,92.67072885787826
124,107.14399881366087
125,124.05570018690435
126,143.7214176029913
127,166.4187040367826
128,192.58968338121738
129,222.85965807
130,257.8212319241739
131,298.11900992652176
132,344.68644977034785
133,398.5890899784348
134,460.92080489304345
135,532.8645650432173
136,615.8623284067826
137,711.9948828558261
138,823.7213615118261
139,953.770513361826
140,1105.5562537426956
141,1281.9310066646087
142,1486.2308147973913
143,1723.053183441739
144,1996.85984452
145,2312.171007583478
146,2675.876699978261
147,3095.527963369565
148,3578.22446434
149,4134.713213098261
150,4777.001553919131
151,5519.589264721739
152,6374.8815762373915
153,7360.696902425218
154,8500.565949309565
155,9814.7689292
156,11336.335329114783
157,13104.056535295653
158,15151.887141852174
159,17525.438405573914
160,20278.73218710435
161,23470.81952643478
162,27181.0376308
163,31492.291705773914
164,36480.65802453913
165,42224.704493017394
166,48823.29028533913
167,56422.74555573913
168,65201.23274791304
169,75340.33837170435
170,87084.45858193914
171,100752.66185758261
172,116650.73141789566
173,135063.08449956522
174,156309.64508843477
175,180836.00633730434
176,209176.37686286957
177,241790.2504232174
178,279325.23287556524
179,322694.463319913
180,372969.68176565215
181,431340.89999582607
182,499295.24297104345
183,578396.89428
184,670696.816772087
185,778634.4851211305
186,904210.9376985218
187,1049807.3161408696
188,1217741.7254017391
189,1414235.757564348
190,1636195.9334339132
191,1947506.8656556522
