Time,Estimation_0,Estimation_1,Estimation_2,Estimation_3,Estimation_4,Estimation_5,Estimation_6,Estimation_7,Estimation_8,Estimation_9,Estimation_10,Estimation_11,Estimation_12,Estimation_13,Estimation_14,Estimation_15,Estimation_16,Estimation_17,Estimation_18,Estimation_19,Estimation_20,Estimation_21,Estimation_22,Estimation_23,Estimation_24,Estimation_25,Estimation_26,Estimation_27,Estimation_28,Estimation_29,Estimation_30,Estimation_31,Estimation_32,Estimation_33,Estimation_34,Estimation_35,Estimation_36,Estimation_37,Estimation_38,Estimation_39,Estimation_40,Estimation_41,Estimation_42,Estimation_43,Estimation_44,Estimation_45,Estimation_46,Estimation_47,Estimation_48,Estimation_49,Estimation_50,Estimation_51,Estimation_52,Estimation_53,Estimation_54,Estimation_55,Estimation_56,Estimation_57,Estimation_58,Estimation_59,Estimation_60,Estimation_61,Estimation_62,Estimation_63,Estimation_64,Estimation_65,Estimation_66,Estimation_67,Estimation_68,Estimation_69,Estimation_70,Estimation_71,Estimation_72,Estimation_73,Estimation_74,Estimation_75,Estimation_76,Estimation_77,Estimation_78,Estimation_79,Estimation_80,Estimation_81,Estimation_82,Estimation_83,Estimation_84,Estimation_85,Estimation_86,Estimation_87,Estimation_88,Estimation_89,Estimation_90,Estimation_91,Estimation_92,Estimation_93,Estimation_94,Estimation_95,Estimation_96,Estimation_97,Estimation_98,Estimation_99
0,1628387.2112730434,1624209.196358261,1622057.096098261,1621905.6055408695,1624405.5063408695,1634415.0743773913,1617613.6205643478,1628680.4717530436,1624627.18738,1637695.7593356522,1615821.8927182609,1631620.6866669566,1618522.3935573914,1617569.4019513044,1627646.2074478262,1624403.1558313044,1622513.4533713043,1620389.7529808695,1635148.5155747826,1614655.955764348,1624885.3610678262,1629611.0584565217,1615549.3654130434,1624456.9078869566,1623067.8176513044,1620996.9562704347,1614476.9773773912,1626008.6138008696,1627321.9454243479,1630314.7254286956,1625790.6454765217,1638643.6435521739,1628501.098924348,1630572.1846773913,1617516.1936547826,1615571.0092826087,1620029.1928965217,1626877.3719156522,1625376.7360547825,1626421.4880826087,1616690.6481139131,1613684.4337869566,1628975.1605747826,1632595.169790435,1626502.9358452174,1625230.0955295651,1615970.2720765218,1622828.6125652173,1616054.2281104347,1626818.776447826,1619060.587958261,1613800.6476704348,1624945.2831304348,1613796.1451147825,1631823.6604608695,1621255.9497226088,1618597.671573913,1630937.0840391305,1630085.4351182608,1619744.364032174,1642387.1594982608,1630677.1028617392,1620872.5243852173,1623380.55798,1625636.876564348,1621796.040626087,1626147.7670026086,1610908.194798261,1626629.5934556522,1623688.1595513043,1621989.98542,1624106.547538261,1616069.2133660868,1625376.6884965217,1624796.7919791304,1619720.5947513042,1626230.713393913,1628914.4159895652,1634098.8867826087,1633068.6227982608,1627042.1510191304,1617577.0969765217,1621917.3555626087,1619366.2601113045,1635093.4213286957,1632144.4960069566,1618626.7063026086,1625235.2670991304,1624313.8945947825,1633529.7863165217,1626904.2707078261,1630554.218012174,1619619.9490652173,1616173.1551973913,1620905.1541330435,1624153.1895034784,1616481.2748147827,1621606.7715530435,1631979.2310269566,1616424.1422756521
1,1929783.5077756522,1950288.5441165217,1946721.170501739,1941712.41406,1953648.8508513044,1937889.9862234783,1952602.3459286958,1958983.60554,1937761.0702747826,1958309.9805391305,1947485.5925556521,1954896.2829773913,1944666.4959713044,1948446.6054678261,1947696.8550652175,1949305.542481739,1940735.6149191305,1938052.5256982609,1957732.1491608697,1951446.7828086957,1950067.4452339131,1949579.9660956522,1955304.5788313043,1944419.5697469565,1946042.9369469564,1951037.8003008696,1940724.8555765217,1942384.0336226088,1948197.1449660868,1947174.9312304347,1964520.7991513044,1941860.483093913,1947184.56614,1941703.9969826087,1942038.787906087,1949245.4747617391,1941950.7472452174,1943872.5220921738,1941880.1231486956,1952460.6944930435,1939524.2398069566,1946927.7915008694,1941457.7636826087,1956610.7307052175,1935782.3068391304,1956100.6611730435,1950104.3638408696,1950071.5604426088,1950979.8361043478,1944539.3861469566,1953166.3473886957,1944798.9909886958,1949405.0069573913,1948153.038587826,1950579.879638261,1940267.3133443478,1944129.3172634782,1937232.4975721738,1945690.1115591305,1951469.07342,1941737.2273243477,1938019.3501669564,1955800.117127826,1943882.5828104347,1954956.373306087,1951967.7125,1948836.9845034783,1950630.2865791305,1952594.9432756521,1942666.8528565217,1948719.5548965218,1956160.6542626086,1948373.3010330435,1945404.6357295653,1949165.8729886957,1963530.3542052174,1948015.8560686957,1947863.8683495652,1954568.51996,1949428.8689191304,1944013.9083521739,1947556.920261739,1938162.8977026087,1945554.6004147825,1948430.8558356522,1957333.58258,1946875.6614634783,1952933.4470747826,1957190.5332495652,1939822.148653913,1945458.1300417392,1946787.0091434782,1950996.7324069566,1962141.2545747827,1943218.6082747825,1946262.9684886956,1949778.422486087,1951321.5693704349,1944321.3903130435,1951872.4776869565
2,1638285.5016234783,1637265.04302,1621014.7321234783,1633181.2085573913,1638895.5565426087,1638174.963952174,1638130.7472773914,1632821.9897121738,1634381.9868165217,1633341.3734417392,1633388.2127669565,1631842.5330330434,1645422.1313391305,1633742.2518330435,1626696.8057747826,1637398.0880852174,1639332.8714582608,1643049.1487373912,1628429.4170278262,1638177.2989165217,1645557.979075652,1635274.8762113045,1646224.156441739,1638870.252287826,1642174.034846087,1646328.8495773913,1649214.29584,1640264.0217686957,1632068.4767669565,1637724.0824,1647784.1047678262,1642651.8974852173,1632218.5142356523,1648367.6675756522,1638382.3356052174,1637535.2704469566,1645281.4844791305,1634248.9353930436,1639695.9946626087,1638921.259987826,1647250.7730886957,1632301.3212730435,1638625.5254026088,1631388.0227834783,1634754.7825382608,1634159.0880252174,1641705.7076504347,1626229.4462782608,1647949.7271,1640948.8296573914,1642352.8493504347,1644966.737978261,1625567.5360234783,1637393.6421904347,1642351.4839113043,1642479.386646087,1629639.2353591304,1632879.1618991303,1636477.9714991304,1630878.9477913044,1638935.4737486956,1648377.6671086957,1634938.8010113044,1638761.43922,1649044.546032174,1646359.246413913,1629877.0377147826,1640910.282926087,1627322.4208686957,1640603.3044269565,1643904.3681313044,1639354.2801156521,1632496.498784348,1637426.211293913,1647683.3454356522,1639087.3773130435,1637489.8735026086,1632918.349872174,1644839.9042008696,1631637.2736495652,1636864.7964182608,1635577.1726017392,1640020.6513486956,1641592.2990269565,1633483.458581739,1637623.5766956522,1647722.7698086957,1631315.44942,1648583.357347826,1643516.3840495653,1637503.2826426087,1642216.1245460869,1629829.904046087,1638802.5706652175,1641936.0151991304,1645126.1484313044,1640615.2766347826,1641922.5483052174,1635794.2825513044,1632279.0658191305
3,1415648.8199165217,1415774.60474,1406815.574815652,1419799.836613913,1417856.1290199999,1413621.0927243477,1413206.6856573913,1413105.8364843477,1410574.3124008696,1413930.527344348,1415719.946387826,1414387.9562156522,1423030.2427452174,1406014.643526087,1414882.1281330434,1416312.735692174,1419645.9822669565,1413305.786641739,1404030.8546313043,1417572.7556860868,1409508.2773991304,1414312.7688060869,1414004.2411234782,1408111.200186087,1414322.0329608696,1407765.282346087,1417720.663173913,1411164.5437556522,1412525.3940191304,1422721.8723573913,1412031.7550043478,1420063.7450373913,1415378.3222852175,1409222.625153913,1418040.5983852174,1413546.2678573914,1418215.1096886958,1419398.1276834782,1411480.6989852174,1416246.4348226087,1410599.523461739,1407586.0082973912,1421203.6040634783,1414621.615707826,1413153.7873817391,1420775.3175391303,1416695.6046939131,1417745.6774878262,1414240.3177130434,1403484.2047895652,1417140.2861686957,1412569.5688443477,1415703.813366087,1404506.3937052174,1409429.6820513043,1407481.599867826,1418152.6440791304,1417921.6335391304,1414803.949113913,1420436.9923408695,1419557.1375356521,1414481.9499234783,1414690.517309565,1413878.9995773912,1410164.38084,1413357.4139982609,1418197.5897556522,1423606.7864434782,1412817.6503582608,1420650.1676773913,1417795.6826452173,1417841.0333008696,1421082.54408,1411422.0357278262,1419838.6257313043,1429349.114773913,1417209.227007826,1413660.9535530435,1411829.95882,1416687.013666087,1422011.9740547827,1422152.2249834782,1427068.3146130436,1414188.0078982608,1428113.6601652175,1406907.6224608696,1412744.8271930434,1416344.0075930434,1421591.2631626087,1417635.3335982608,1411728.796953913,1412472.984541739,1421826.284653913,1421761.1576504349,1416209.4235104348,1416368.7850208695,1408259.42476,1418902.8162913043,1425925.1332573914,1421269.8692504347
4,1223409.8047660869,1212941.214678261,1216117.77978,1206659.9581991304,1213921.7465252173,1215287.3689017391,1223433.9567695651,1209457.90224,1210330.7741347826,1221796.5732147826,1214138.0844721738,1216155.181318261,1222536.9382808695,1217271.6118260869,1213304.82298,1216754.4924739131,1214619.5477426087,1216495.0932469566,1221949.9561513043,1220531.9907217391,1220031.7638582608,1216967.3319234783,1203792.8672365218,1216167.0855104348,1215814.4538843478,1221683.1034165218,1226860.5117365217,1216271.8915565216,1221327.0199965218,1223776.3874304348,1216146.3627156522,1216826.4068052175,1218682.3473773913,1231243.0721269564,1212728.0396408695,1211259.3067286955,1210894.3507443478,1222651.7255626088,1218842.703346087,1214906.399547826,1221498.577727826,1215297.560593913,1225346.3894026086,1211990.3403165217,1214377.55786,1224218.9198104348,1207004.7752373912,1220264.9901869565,1218695.3820191305,1209450.464872174,1210058.8827191305,1222543.8562695652,1219828.9320286957,1217547.300406087,1201981.2321826087,1217357.8200356523,1220330.048072174,1219087.6444026087,1215587.9259686957,1214689.1551530436,1211029.7569826087,1210066.875947826,1216211.593967826,1213617.547501739,1224812.0223486957,1210044.2661808694,1223585.4945373912,1222581.370086087,1219600.3353608695,1205179.9900991304,1216729.1335826088,1209075.27028,1218702.5937034783,1228038.4011991303,1207502.0458113044,1217268.2792913043,1220214.5676730436,1212329.1266373913,1222386.176901739,1218692.1104434782,1206010.8218817392,1218508.5708139131,1207997.4606669566,1225779.7365965217,1212208.6365304347,1217574.4656869564,1227615.7251321739,1218576.0453643478,1218662.0121026086,1220480.5872547827,1224706.4912730434,1227991.9898808696,1220201.75604,1217399.8774104347,1214146.1945852174,1208285.539798261,1213959.6388504347,1213597.7787921738,1215548.8862965216,1212331.536378261
5,1047367.7045013043,1055550.2935393043,1045600.1635977392,1046778.7478136522,1049315.216348174,1051413.6493193912,1045545.7466590435,1046506.0936992174,1041453.4615027827,1050279.2710251305,1038718.6362216522,1060256.994748,1052131.6731078262,1057189.942784,1053118.387376,1043525.1978289565,1048863.0910768695,1051955.134887739,1046453.590032,1043170.3865587827,1042040.1097575652,1049858.6328106956,1037748.2900433913,1049131.827779913,1049834.2058872173,1045148.5111891305,1052079.9738433044,1048614.8303106956,1045519.8061308695,1043909.5324380869,1050358.083168174,1055637.183516261,1049264.1813729566,1037499.1357935652,1050260.197918,1050581.7473470434,1050858.7654077392,1055791.7028040001,1054513.7350469565,1044368.4316525217,1043324.2793681739,1059496.318022,1045966.279316087,1048191.5064824348,1043339.7818766957,1051910.0230564347,1046555.183493913,1046273.9518934783,1048119.8398193043,1046641.1072892174,1060029.9473184347,1050809.6392276522,1050700.842317913,1056094.2316033912,1049891.455004087,1054436.1275613913,1040854.8584226957,1053968.9964873043,1047529.2483386956,1047213.8188764348,1048484.0132164347,1042806.1796753043,1044722.5941043479,1048629.409980174,1048477.80158,1041018.403127826,1045768.7858816521,1047965.8014087826,1053030.990834,1047372.0554815652,1046116.856260087,1054850.9253213042,1050484.4239306957,1049424.6778509566,1055793.6055666087,1056938.3458917392,1050371.954240087,1044826.9806897391,1055368.7115471305,1046890.4450823478,1052780.9965907827,1049018.6446620869,1045261.6018093913,1051696.280355913,1048640.0790290434,1049569.5265283477,1054684.4536278262,1047860.6190497391,1047488.0273812173,1049485.1705592175,1049059.418172087,1040322.5443647826,1047992.0133329565,1047691.589053913,1051067.463268261,1040951.3326273913,1056720.361144261,1051552.9296129565,1047788.2212069565,1039609.9192410435
6,910466.1930356522,901798.0633287826,904769.5120890435,895081.8084073913,914877.7703721739,899305.1604245218,891678.3345964347,912948.6564749565,899869.689448,906741.5026045217,900881.1920194783,909485.4472250434,900180.2460408696,898576.7724526087,908689.4883121739,899112.1642254783,905471.2481443478,903183.3843394782,905980.4488242608,901455.0065418261,904412.0145611304,901503.4358532174,902654.4909341739,899870.1937171305,901652.4510295652,904847.7011793044,911419.9379371305,895910.652558,913918.6910728696,905344.3377779131,905627.1538485218,902195.0661007826,909999.1398629565,910824.5060146956,895712.9104272174,901781.828694,900746.4324892174,904557.6293152174,902959.0366486957,905164.194890087,900875.583301913,900410.8063673913,899593.8922347826,899401.217019913,910571.6281186087,910015.1834265217,910662.0293048696,907310.5361166087,907055.7755386087,903306.7985362608,901568.7439083478,910803.1217671304,910896.6959383478,898603.8863197392,909041.1242035652,908612.915745913,900632.7777441739,910925.4416095652,901151.0952864347,908341.7485596521,897595.7497067826,898050.4194363478,904746.8069130435,906873.8843809565,906518.150451826,911441.7226713044,907031.1421894783,907077.5621166087,898359.1120903478,904435.0551567826,901836.358042,900166.3414792174,903611.138964087,906014.4580493913,908746.7740377391,904615.3154326087,905706.8068797392,905556.7496091304,901645.3618913044,896653.761585826,901158.0618448695,903492.6526393912,907154.6659004348,900035.5462687826,907386.3822266087,902087.2404855653,903972.9151108696,908521.2674402609,905875.9186415653,900171.3502021739,905056.8835323479,898465.3049877392,912172.9878553044,895616.1157846956,914330.4657983478,900651.5023035653,898796.9360610435,901168.9536297391,917157.7297951304,914755.1833393044
7,774185.6561136522,786576.1700810435,776978.9312078261,783722.2981225217,778395.5589635653,773831.4233292174,775398.656852174,779211.6592818261,773976.0673839131,785960.6004260869,776581.0882535652,786043.9113086087,782512.2099374783,784529.4298366957,792983.2241956522,780530.2923699131,783504.2502274782,777239.0856411305,787157.6764880869,776877.9783752174,775484.6759486956,782329.6322781739,781457.9007928695,775835.4659301739,787847.511789913,783481.8260073044,775505.6723716522,774843.5862972174,780543.2202114783,780762.535868087,782364.5308315653,773712.2416887826,781275.0816092175,780808.099116,782970.1518644348,781007.7675827827,780982.4405983478,784661.9870262608,782741.6777526956,789029.1049387826,777088.5399318261,782098.2022226087,781902.4137437391,776717.3549505217,779014.6404976522,771690.1875183479,780087.6632342609,779732.7220655652,766894.2200248695,781729.9002944347,790558.3481353913,776019.238610087,775754.4633237391,776823.4916872174,777982.6589734782,781130.5831453913,775941.0632828695,778256.6426253913,782948.5861226087,780073.2495756522,779001.7820011304,784801.0643471305,782759.0679493044,774153.5149090434,780176.1126966086,779112.2017973043,775370.2917341739,784904.9045189566,778887.2170584347,786670.4237530435,782838.8684547826,784348.0666993913,785927.7473628696,782551.4317073043,784681.3940596522,784083.7076297391,788019.9461623478,782087.997324,790095.0988175652,776967.9453486087,788846.321188087,776749.9765716522,773928.9524616522,776244.3664834782,779128.9503943478,782013.0290467826,781523.6215089565,783054.3489303478,777195.6836471305,778772.4460368695,783553.6698028696,779730.6057097391,784261.9016503479,783524.3934320869,779937.5309728696,792166.2337952174,781585.9960980869,786690.1699726087,777362.4059076522,778776.3646592174
8,670916.3806866087,672947.5338153044,671204.4265661739,671449.0070946087,670365.1978875652,669348.5201055652,669007.343399913,675599.8876426957,666762.6864669565,671427.6227162608,661976.3922874782,679784.1488873913,674218.6920068696,676541.4653852173,671609.6646253912,662618.6703413044,682556.2849814782,675187.8042403478,679176.7136392174,679280.5642065217,672249.5751690435,673480.2258567826,676449.6879873913,676086.7943529565,671334.7580774783,664129.3903456521,673318.4051656522,678234.2352584348,670818.3952629565,669828.9533731304,666504.1076072174,663705.6351481739,668993.1599036522,673077.6365573043,670767.9138173913,674969.1224033913,672753.0746813914,673320.4786106957,674703.233136087,663203.1021374783,673554.0139364348,674640.7368892174,674997.684078174,675542.1345031305,667858.0536597391,665761.3727385218,669602.5281094783,666968.7424083478,681314.6496543478,672982.2138990435,672902.6149432174,665727.109508,670923.0453784348,676435.4844156522,670682.4191754783,671285.5661494782,668471.6465122609,669581.2958641739,673527.4197093913,672587.7862950434,668675.5182521739,666874.2685775652,675993.5899971304,677345.164844087,680220.1808149565,673371.8673562609,671281.2627687826,671253.8434814783,672555.2738186087,678774.3058467826,666259.5765301739,678281.2248888696,668379.637542,674159.6714136521,674975.9464985217,672640.9365413913,680671.2770386087,674130.2088155652,675089.6465863478,669452.5706928696,670347.414096087,669622.782153913,672786.5576755652,671113.621003913,683649.0431795652,673965.9823569566,674767.8739274782,680842.5436949565,674002.7425006087,669915.2957630435,675531.5190595653,670222.3601848696,675769.0966769565,666561.5203973913,674404.1441266087,665712.7480515653,674893.9610026956,668851.3963263478,673976.1209088695,673341.3154378261
9,585873.2494147826,581826.9124471304,578762.5633957392,585139.6013171305,584315.9845542609,573641.3659842609,586361.0749751305,581316.2521022608,579065.0912292174,572924.0895033043,582365.5365205217,578733.6589230435,586664.7811961739,582753.7027273913,575043.9944078261,581781.613630087,586264.9839276521,584497.8993674782,585941.6796403478,579072.1983906956,584869.6745749565,585605.6757269566,578296.7789322608,585306.6294420869,582954.0101399131,578967.3455970435,580082.780758,577874.350295913,581250.7639581739,583459.0156682609,579380.5945106087,583504.3292508696,582761.6932656522,586935.0635516521,576253.9099633044,578067.7497041739,574826.3340206087,574375.7176609566,587294.9764635653,575873.2624727826,577634.8459126956,584208.127124,582172.0387741739,573808.9019790435,579414.764732,581634.8713280869,583040.753378087,573667.100533913,583895.6256500001,582671.2654641739,577568.3376703479,582179.6157813913,575935.2115721739,576007.9723222608,587416.7396586087,581782.7268093043,575909.2026994782,581031.3906521739,582697.3262544348,582883.7941795653,578551.0483936522,582447.5054043478,578164.1858983479,586094.4687652173,580565.72124,580695.8182076522,580212.5976838261,586673.1006548696,583741.4877613044,581087.1154793043,581485.6279148696,581256.6723083479,585482.3782517392,576850.5926283478,583206.1559876521,586782.820859913,583335.5744366087,576031.5328197391,582184.2871034782,573574.1374716521,581056.7866401739,581306.9698591304,577020.2165760869,580669.7570752174,580968.991954,573359.637025913,577148.4266643479,581240.428972087,580719.0175704348,581483.1343345217,574386.9247268696,583836.181832087,582817.4163273043,576432.4913453043,584775.2125153043,578550.4729335653,584199.7552606957,582871.4214421739,585684.9389410435,575323.5395192174
